what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1346854123709
stopped,bundle,com.aptana.documentation,3.0.0.1325132627,"com.aptana.documentation",1346854123710
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1346854123712
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1346854123712
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1346854123714
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1346854123714
stopped,bundle,org.eclipse.wtp.epp.package.jee.intro,1.3.0.v201006142040,"org.eclipse.wtp.epp.package.jee.intro",1346854123715
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1346854123715
stopped,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1346854123715
stopped,bundle,org.eclipse.cdt.debug.edc.linux.x86,1.0.0.201202112006,"org.eclipse.cdt.debug.edc.linux.x86",1346854123716
stopped,bundle,org.eclipse.cdt.debug.edc.windows.ui,1.0.0.201202112006,"org.eclipse.cdt.debug.edc.windows.ui",1346854123717
stopped,bundle,org.eclipse.cdt.debug.edc.windows,2.0.0.201202112006,"org.eclipse.cdt.debug.edc.windows",1346854123718
stopped,bundle,org.eclipse.cdt.debug.edc.ui,2.0.0.201202112006,"org.eclipse.cdt.debug.edc.ui",1346854123719
stopped,bundle,org.eclipse.cdt.debug.edc.x86,1.0.0.201202112006,"org.eclipse.cdt.debug.edc.x86",1346854123720
stopped,bundle,org.eclipse.cdt.debug.edc,2.0.0.201202112006,"org.eclipse.cdt.debug.edc",1346854123721
stopped,bundle,org.eclipse.cdt.scripting,1.0.0.201202112006,"org.eclipse.cdt.scripting",1346854123722
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1346854123723
stopped,bundle,org.eclipse.wst.server.preview,1.1.100.v20091208,"org.eclipse.wst.server.preview",1346854123724
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1346854123724
