what,kind,bundleId,bundleVersion,description,time
started,bundle,com.aptana.theme,3.0.0.1320258654,"com.aptana.theme",1346852044915
started,bundle,com.aptana.ui,3.0.3.1325786963,"com.aptana.ui",1346852044916
started,bundle,com.python.pydev.analysis,2.2.4.2011121401,"com.python.pydev.analysis",1346852044917
started,bundle,org.python.pydev,2.2.4.2011121401,"org.python.pydev",1346852044919
started,bundle,org.python.pydev.core,2.2.4.2011121401,"org.python.pydev.core",1346852044919
started,bundle,org.python.pydev.debug,2.2.4.2011121401,"org.python.pydev.debug",1346852044920
started,bundle,org.python.pydev.red_core,2.2.4.2011121401,"org.python.pydev.red_core",1346852044921
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1346852044922
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1346852044922
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1346852044923
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1346852044924
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1346852044925
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1346852044926
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1346852044941
os,sysinfo,,,"macosx",1346852044943
arch,sysinfo,,,"x86_64",1346852044943
ws,sysinfo,,,"cocoa",1346852044943
locale,sysinfo,,,"ko_KR",1346852044943
processors,sysinfo,,,"8",1346852044943
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1346852044943
java.runtime.version,sysinfo,,,"1.6.0_33-b03-424-11M3720",1346852044943
java.specification.name,sysinfo,,,"Java Platform API Specification",1346852044943
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1346852044943
java.specification.version,sysinfo,,,"1.6",1346852044943
